GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:1901564	organonitrogen compound metabolic process	9.76871039441153e-13	9.76871039441153e-13	+1	483
GO:0009056	catabolic process	2.55184429963629e-12	2.55184429963629e-12	+1	247
GO:0019538	protein metabolic process	3.3917511263628e-10	3.3917511263628e-10	+1	401
GO:1901575	organic substance catabolic process	6.53737684049044e-08	6.53737684049044e-08	+1	195
GO:0006996	organelle organization	1.74498700555984e-07	1.74498700555984e-07	+1	301
GO:0009057	macromolecule catabolic process	1.95307480076745e-07	1.95307480076745e-07	+1	138
GO:0044248	cellular catabolic process	6.77991813391747e-07	6.77991813391747e-07	+1	156
GO:0048518	positive regulation of biological process	4.30679595847677e-06	4.30679595847677e-06	+1	465
GO:0048522	positive regulation of cellular process	1.00563410104963e-05	1.00563410104963e-05	+1	429
GO:1901566	organonitrogen compound biosynthetic process	1.16412433674295e-05	1.16412433674295e-05	+1	163
GO:0043603	amide metabolic process	3.31666371600973e-05	3.31666371600973e-05	+1	119
GO:0006518	peptide metabolic process	6.65597696171191e-05	6.65597696171191e-05	+1	96
GO:0051171	regulation of nitrogen compound metabolic process	7.20160798827466e-05	7.20160798827466e-05	+1	406
GO:1901565	organonitrogen compound catabolic process	7.75935333116178e-05	7.75935333116178e-05	+1	133
GO:0080090	regulation of primary metabolic process	8.9200656452135e-05	8.9200656452135e-05	+1	415
GO:0030163	protein catabolic process	0.000175440561558439	0.000175440561558439	+1	99
GO:0043412	macromolecule modification	0.000337629403389645	0.000337629403389645	+1	260
GO:0031329	regulation of cellular catabolic process	0.000597735044309052	0.000597735044309052	+1	75
GO:0036211	protein modification process	0.00203165142359534	0.00203165142359534	+1	240
GO:0007049	cell cycle	0.00206863431697378	0.00206863431697378	+1	157
GO:0009894	regulation of catabolic process	0.00267585854119049	0.00267585854119049	+1	99
GO:0043632	modification-dependent macromolecule catabolic process	0.00381478295213656	0.00381478295213656	+1	67
GO:0051179	localization	0.00410581631161096	0.00410581631161096	+1	399
GO:0006511	ubiquitin-dependent protein catabolic process	0.004754505572063	0.004754505572063	+1	65
GO:0043043	peptide biosynthetic process	0.00510078737736503	0.00510078737736503	+1	77
GO:0006914	autophagy	0.00558388061279855	0.00558388061279855	+1	63
GO:0061919	process utilizing autophagic mechanism	0.00558388061279855	0.00558388061279855	+1	63
GO:0019219	regulation of nucleobase-containing compound metabolic process	0.00563951319795024	0.00563951319795024	+1	305
GO:0051603	proteolysis involved in protein catabolic process	0.00613405457024618	0.00613405457024618	+1	75
GO:0043604	amide biosynthetic process	0.00645999486095648	0.00645999486095648	+1	87
GO:0044281	small molecule metabolic process	0.00675452630472213	0.00675452630472213	+1	154
GO:0007005	mitochondrion organization	0.00700514279977552	0.00700514279977552	+1	56
GO:0042157	lipoprotein metabolic process	0.00715782267156364	0.00715782267156364	+1	22
GO:0019941	modification-dependent protein catabolic process	0.00832862040905158	0.00832862040905158	+1	65
GO:0046907	intracellular transport	0.00934441407935355	0.00934441407935355	+1	122
GO:0032446	protein modification by small protein conjugation	0.0103987335550453	0.0103987335550453	+1	84
GO:0006412	translation	0.0155554764097266	0.0155554764097266	+1	73
GO:0033036	macromolecule localization	0.0175948177082777	0.0175948177082777	+1	246
GO:0044271	cellular nitrogen compound biosynthetic process	0.0237969902488615	0.0237969902488615	+1	350
GO:0006259	DNA metabolic process	0.0254410014685722	0.0254410014685722	+1	96
GO:0006749	glutathione metabolic process	0.0260747525283701	0.0260747525283701	+1	13
GO:0000455	enzyme-directed rRNA pseudouridine synthesis	0.0339597254170788	0.0339597254170788	+1	4
GO:0051248	negative regulation of protein metabolic process	0.0344010162207235	0.0344010162207235	+1	75
GO:0006417	regulation of translation	0.0403123689935791	0.0403123689935791	+1	44
GO:0006403	RNA localization	0.0416694389915421	0.0416694389915421	+1	28
GO:0034248	regulation of amide metabolic process	0.0420432795725539	0.0420432795725539	+1	49
GO:0006497	protein lipidation	0.04242809300878	0.04242809300878	+1	16
GO:1901361	organic cyclic compound catabolic process	0.0456487641921	0.0456487641921	+1	63
GO:0016567	protein ubiquitination	0.049187770989248	0.049187770989248	+1	75
GO:0042254	ribosome biogenesis	0.0493461294639873	0.0493461294639873	+1	39
GO:0005737	cytoplasm	1.86360338767359e-28	1.86360338767359e-28	+1	928
GO:0005829	cytosol	1.07326069814743e-16	1.07326069814743e-16	+1	465
GO:0031090	organelle membrane	1.0341132311206e-13	1.0341132311206e-13	+1	336
GO:0043227	membrane-bounded organelle	1.14688459064406e-12	1.14688459064406e-12	+1	1048
GO:0043231	intracellular membrane-bounded organelle	5.19552187728889e-12	5.19552187728889e-12	+1	988
GO:0005622	intracellular anatomical structure	4.79532052985157e-11	4.79532052985157e-11	+1	1152
GO:0005654	nucleoplasm	9.10756378602215e-11	9.10756378602215e-11	+1	354
GO:0043229	intracellular organelle	1.05745751781431e-08	1.05745751781431e-08	+1	1048
GO:0043226	organelle	1.51719696418803e-08	1.51719696418803e-08	+1	1089
GO:0070013	intracellular organelle lumen	1.06326579941371e-07	1.06326579941371e-07	+1	496
GO:0031974	membrane-enclosed lumen	1.06326579941371e-07	1.06326579941371e-07	+1	496
GO:0043233	organelle lumen	1.06326579941371e-07	1.06326579941371e-07	+1	496
GO:0031975	envelope	1.83088504579172e-07	1.83088504579172e-07	+1	132
GO:0031967	organelle envelope	1.83088504579172e-07	1.83088504579172e-07	+1	132
GO:0012505	endomembrane system	2.8293361235232e-07	2.8293361235232e-07	+1	373
GO:0098588	bounding membrane of organelle	1.60454808312742e-05	1.60454808312742e-05	+1	190
GO:0140535	intracellular protein-containing complex	3.43233017994717e-05	3.43233017994717e-05	+1	97
GO:0031984	organelle subcompartment	5.1028626204424e-05	5.1028626204424e-05	+1	139
GO:0005739	mitochondrion	5.49818300203722e-05	5.49818300203722e-05	+1	151
GO:1990234	transferase complex	7.74803160699254e-05	7.74803160699254e-05	+1	91
GO:0005783	endoplasmic reticulum	8.7147646511988e-05	8.7147646511988e-05	+1	176
GO:0031981	nuclear lumen	9.29773675735432e-05	9.29773675735432e-05	+1	405
GO:0005635	nuclear envelope	9.44136852518761e-05	9.44136852518761e-05	+1	59
GO:1902494	catalytic complex	0.000100619183287833	0.000100619183287833	+1	156
GO:0031982	vesicle	0.000103191358183481	0.000103191358183481	+1	307
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.000377775083034772	0.000377775083034772	+1	113
GO:0031965	nuclear membrane	0.000523983827556316	0.000523983827556316	+1	41
GO:0098827	endoplasmic reticulum subcompartment	0.000565257845583885	0.000565257845583885	+1	111
GO:0005789	endoplasmic reticulum membrane	0.000761630795841072	0.000761630795841072	+1	110
GO:0005774	vacuolar membrane	0.00540010825791716	0.00540010825791716	+1	53
GO:0005740	mitochondrial envelope	0.0124949935753752	0.0124949935753752	+1	78
GO:0098852	lytic vacuole membrane	0.0159426519503615	0.0159426519503615	+1	48
GO:0005765	lysosomal membrane	0.0159426519503615	0.0159426519503615	+1	48
GO:0070062	extracellular exosome	0.0246456886667235	0.0246456886667235	+1	166
GO:1903561	extracellular vesicle	0.030718606243942	0.030718606243942	+1	167
GO:0065010	extracellular membrane-bounded organelle	0.0314609467234363	0.0314609467234363	+1	167
GO:0043230	extracellular organelle	0.0314609467234363	0.0314609467234363	+1	167
GO:0097708	intracellular vesicle	0.0384084342351488	0.0384084342351488	+1	192
GO:0031410	cytoplasmic vesicle	0.0478190165637527	0.0478190165637527	+1	191
GO:0005515	protein binding	1.00729199721496e-24	1.00729199721496e-24	+1	1076
GO:0003824	catalytic activity	1.10433981179948e-07	1.10433981179948e-07	+1	457
GO:0016740	transferase activity	0.0173814208050188	0.0173814208050188	+1	192
GO:0016746	acyltransferase activity	0.0415305061579464	0.0415305061579464	+1	72
