GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:2457	CIN85-SH3GL3 complex	0.0499918731602057	0.0499918731602057	+1	2
GO:0050789	regulation of biological process	9.4931097601745e-14	9.4931097601745e-14	+1	278
GO:0050794	regulation of cellular process	9.88561352954744e-14	9.88561352954744e-14	+1	270
GO:0032501	multicellular organismal process	3.11851490073179e-13	3.11851490073179e-13	+1	203
GO:0032502	developmental process	7.24412557269572e-13	7.24412557269572e-13	+1	180
GO:0065007	biological regulation	3.58471143662265e-12	3.58471143662265e-12	+1	280
GO:0048856	anatomical structure development	6.90159534123411e-12	6.90159534123411e-12	+1	167
GO:0007154	cell communication	6.92350057736328e-12	6.92350057736328e-12	+1	179
GO:0023052	signaling	9.19456397055029e-12	9.19456397055029e-12	+1	177
GO:0048731	system development	9.22260842914161e-12	9.22260842914161e-12	+1	128
GO:0007275	multicellular organism development	5.14191795457262e-11	5.14191795457262e-11	+1	140
GO:0009653	anatomical structure morphogenesis	4.70998182170685e-09	4.70998182170685e-09	+1	93
GO:0048523	negative regulation of cellular process	1.32134136718847e-08	1.32134136718847e-08	+1	151
GO:0048519	negative regulation of biological process	1.71602233972622e-08	1.71602233972622e-08	+1	157
GO:0007165	signal transduction	2.71621685443393e-08	2.71621685443393e-08	+1	158
GO:0051239	regulation of multicellular organismal process	3.14622561383666e-08	3.14622561383666e-08	+1	97
GO:0048518	positive regulation of biological process	7.95231076575422e-08	7.95231076575422e-08	+1	162
GO:0051716	cellular response to stimulus	1.40253409539926e-07	1.40253409539926e-07	+1	182
GO:0007155	cell adhesion	2.13707907044229e-07	2.13707907044229e-07	+1	61
GO:0051240	positive regulation of multicellular organismal process	2.50276973637972e-07	2.50276973637972e-07	+1	64
GO:0050896	response to stimulus	3.75393402381327e-07	3.75393402381327e-07	+1	208
GO:0010646	regulation of cell communication	6.11215237053271e-07	6.11215237053271e-07	+1	104
GO:0048522	positive regulation of cellular process	7.07115466524003e-07	7.07115466524003e-07	+1	149
GO:0023051	regulation of signaling	1.22353437496291e-06	1.22353437496291e-06	+1	103
GO:0050793	regulation of developmental process	1.16113893568743e-05	1.16113893568743e-05	+1	79
GO:0016477	cell migration	2.12742482899893e-05	2.12742482899893e-05	+1	56
GO:0030154	cell differentiation	4.33778981566823e-05	4.33778981566823e-05	+1	117
GO:0048869	cellular developmental process	4.39618082755869e-05	4.39618082755869e-05	+1	117
GO:0048870	cell motility	6.02313323820604e-05	6.02313323820604e-05	+1	60
GO:0048583	regulation of response to stimulus	6.14307153973032e-05	6.14307153973032e-05	+1	108
GO:0008285	negative regulation of cell population proliferation	6.45030988373149e-05	6.45030988373149e-05	+1	34
GO:0051128	regulation of cellular component organization	7.67358885473142e-05	7.67358885473142e-05	+1	76
GO:0007166	cell surface receptor signaling pathway	0.000175869634324729	0.000175869634324729	+1	83
GO:0007399	nervous system development	0.000212035212541883	0.000212035212541883	+1	77
GO:0040011	locomotion	0.000235278229000697	0.000235278229000697	+1	47
GO:0072359	circulatory system development	0.000341592433628957	0.000341592433628957	+1	44
GO:0035295	tube development	0.000344465006800348	0.000344465006800348	+1	43
GO:0043067	regulation of programmed cell death	0.000417386993249631	0.000417386993249631	+1	53
GO:0012501	programmed cell death	0.000436985041554725	0.000436985041554725	+1	64
GO:0008219	cell death	0.000469729679811791	0.000469729679811791	+1	64
GO:0048646	anatomical structure formation involved in morphogenesis	0.00047124475741604	0.00047124475741604	+1	45
