GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0032501	multicellular organismal process	4.82608199839096e-14	4.82608199839096e-14	+1	197
GO:0032502	developmental process	1.22525109005188e-13	1.22525109005188e-13	+1	175
GO:0048731	system development	2.73863400015047e-13	2.73863400015047e-13	+1	127
GO:0048856	anatomical structure development	8.04576383850155e-13	8.04576383850155e-13	+1	163
GO:0007275	multicellular organism development	1.06613884897888e-12	1.06613884897888e-12	+1	139
GO:0050789	regulation of biological process	3.04476282254596e-10	3.04476282254596e-10	+1	258
GO:0050794	regulation of cellular process	3.83981404690135e-10	3.83981404690135e-10	+1	250
GO:0065007	biological regulation	1.12777150876665e-09	1.12777150876665e-09	+1	262
GO:0007154	cell communication	6.0264845500982e-09	6.0264845500982e-09	+1	164
GO:0023052	signaling	8.37634292431642e-09	8.37634292431642e-09	+1	162
GO:0009653	anatomical structure morphogenesis	9.93939564874888e-09	9.93939564874888e-09	+1	89
GO:0051239	regulation of multicellular organismal process	1.66269724341714e-06	1.66269724341714e-06	+1	89
GO:0007399	nervous system development	1.77202019963573e-06	1.77202019963573e-06	+1	80
GO:0030154	cell differentiation	3.43308820070075e-06	3.43308820070075e-06	+1	116
GO:0048869	cellular developmental process	3.48175465499802e-06	3.48175465499802e-06	+1	116
GO:0048519	negative regulation of biological process	5.69338903273211e-06	5.69338903273211e-06	+1	143
GO:0048523	negative regulation of cellular process	5.82221671569874e-06	5.82221671569874e-06	+1	137
GO:0050896	response to stimulus	7.46315904194889e-06	7.46315904194889e-06	+1	195
GO:0007165	signal transduction	8.07709226081017e-06	8.07709226081017e-06	+1	144
GO:0007155	cell adhesion	1.32516568578766e-05	1.32516568578766e-05	+1	55
GO:0051716	cellular response to stimulus	1.39028910540154e-05	1.39028910540154e-05	+1	168
GO:0048513	animal organ development	3.29304714105967e-05	3.29304714105967e-05	+1	87
GO:0048518	positive regulation of biological process	6.33476231862719e-05	6.33476231862719e-05	+1	146
GO:0010646	regulation of cell communication	7.26083959954875e-05	7.26083959954875e-05	+1	94
GO:0072359	circulatory system development	7.95431902712635e-05	7.95431902712635e-05	+1	44
GO:0023051	regulation of signaling	0.000137281679657596	0.000137281679657596	+1	93
GO:0050793	regulation of developmental process	0.000156219087967112	0.000156219087967112	+1	73
GO:0035295	tube development	0.000230893165636796	0.000230893165636796	+1	42
GO:0035113	embryonic appendage morphogenesis	0.000231065657028755	0.000231065657028755	+1	13
GO:0030326	embryonic limb morphogenesis	0.000231065657028755	0.000231065657028755	+1	13
GO:0048699	generation of neurons	0.000236781096532459	0.000236781096532459	+1	52
GO:0030182	neuron differentiation	0.000256491573348559	0.000256491573348559	+1	50
GO:0022008	neurogenesis	0.00026973165334294	0.00026973165334294	+1	57
GO:0035107	appendage morphogenesis	0.000373011408579387	0.000373011408579387	+1	14
GO:0035108	limb morphogenesis	0.000373011408579387	0.000373011408579387	+1	14
GO:0048468	cell development	0.000475598276037684	0.000475598276037684	+1	79
GO:0051240	positive regulation of multicellular organismal process	0.000477354176830729	0.000477354176830729	+1	54
GO:0048646	anatomical structure formation involved in morphogenesis	0.000776771523784206	0.000776771523784206	+1	43
GO:0060173	limb development	0.000928961527569914	0.000928961527569914	+1	15
GO:0048736	appendage development	0.000928961527569914	0.000928961527569914	+1	15
GO:0051128	regulation of cellular component organization	0.000972638708810831	0.000972638708810831	+1	70
GO:0016477	cell migration	0.000983907329829127	0.000983907329829127	+1	50
GO:0048522	positive regulation of cellular process	0.00109452540346164	0.00109452540346164	+1	132
GO:2000026	regulation of multicellular organismal development	0.00252407362657886	0.00252407362657886	+1	47
GO:0001503	ossification	0.00289578540125805	0.00289578540125805	+1	22
GO:0010975	regulation of neuron projection development	0.0028991910307409	0.0028991910307409	+1	23
GO:0035239	tube morphogenesis	0.00318871256219762	0.00318871256219762	+1	34
GO:0048870	cell motility	0.00415918573910128	0.00415918573910128	+1	53
GO:0010810	regulation of cell-substrate adhesion	0.00444742403241928	0.00444742403241928	+1	15
GO:0044087	regulation of cellular component biogenesis	0.00490130815549578	0.00490130815549578	+1	36
GO:0031175	neuron projection development	0.00507375648306136	0.00507375648306136	+1	37
GO:0030334	regulation of cell migration	0.0054104386381672	0.0054104386381672	+1	35
GO:0040011	locomotion	0.00588382559377626	0.00588382559377626	+1	42
GO:0032989	cellular anatomical entity morphogenesis	0.00739831737080756	0.00739831737080756	+1	31
GO:0040012	regulation of locomotion	0.00869619508216295	0.00869619508216295	+1	37
GO:2000145	regulation of cell motility	0.00871105895664964	0.00871105895664964	+1	36
GO:0001944	vasculature development	0.00879212455824814	0.00879212455824814	+1	30
GO:0048666	neuron development	0.00882539701212429	0.00882539701212429	+1	40
GO:0051129	negative regulation of cellular component organization	0.0104050085253358	0.0104050085253358	+1	29
GO:0001568	blood vessel development	0.0109771879419782	0.0109771879419782	+1	29
GO:0065008	regulation of biological quality	0.0110262140306712	0.0110262140306712	+1	75
GO:0007166	cell surface receptor signaling pathway	0.0115894569132337	0.0115894569132337	+1	74
GO:0051093	negative regulation of developmental process	0.0123758328488752	0.0123758328488752	+1	34
GO:0001525	angiogenesis	0.0136422386631019	0.0136422386631019	+1	24
GO:0051094	positive regulation of developmental process	0.0155786515451451	0.0155786515451451	+1	43
GO:0048583	regulation of response to stimulus	0.0183535277686596	0.0183535277686596	+1	95
GO:0048514	blood vessel morphogenesis	0.0192809411075793	0.0192809411075793	+1	26
GO:0141091	transforming growth factor beta receptor superfamily signaling pathway	0.0223111064123943	0.0223111064123943	+1	18
GO:0048858	cell projection morphogenesis	0.0268082184579064	0.0268082184579064	+1	27
GO:0034330	cell junction organization	0.0290823842546452	0.0290823842546452	+1	29
GO:0048662	negative regulation of smooth muscle cell proliferation	0.0310518580648143	0.0310518580648143	+1	7
GO:0030336	negative regulation of cell migration	0.0328669230612659	0.0328669230612659	+1	16
GO:0120035	regulation of plasma membrane bounded cell projection organization	0.0402079925989144	0.0402079925989144	+1	26
GO:0000902	cell morphogenesis	0.043992656917089	0.043992656917089	+1	34
GO:0005576	extracellular region	1.57247424803806e-06	1.57247424803806e-06	+1	112
GO:0071944	cell periphery	2.20319761984821e-05	2.20319761984821e-05	+1	145
GO:0045202	synapse	0.00249438541250289	0.00249438541250289	+1	46
GO:0031012	extracellular matrix	0.00319169030736022	0.00319169030736022	+1	24
GO:0030312	external encapsulating structure	0.00328796577791035	0.00328796577791035	+1	24
GO:0099572	postsynaptic specialization	0.00372150948895667	0.00372150948895667	+1	18
GO:0098978	glutamatergic synapse	0.00514845727878191	0.00514845727878191	+1	20
GO:0030054	cell junction	0.00532762048556169	0.00532762048556169	+1	61
GO:0005886	plasma membrane	0.0115322430277739	0.0115322430277739	+1	125
GO:0098794	postsynapse	0.0146853623017158	0.0146853623017158	+1	25
GO:0014069	postsynaptic density	0.0168610285698133	0.0168610285698133	+1	16
GO:0062023	collagen-containing extracellular matrix	0.0172452853555567	0.0172452853555567	+1	19
GO:0031982	vesicle	0.0178198676201578	0.0178198676201578	+1	93
GO:0005615	extracellular space	0.0298976957978779	0.0298976957978779	+1	79
GO:0032279	asymmetric synapse	0.0299841145256954	0.0299841145256954	+1	16
GO:0005102	signaling receptor binding	0.000150048625660624	0.000150048625660624	+1	53
GO:0005515	protein binding	0.00102777852475809	0.00102777852475809	+1	288
GO:0008201	heparin binding	0.00104157714537808	0.00104157714537808	+1	14
GO:0005539	glycosaminoglycan binding	0.00287211455875661	0.00287211455875661	+1	16
GO:0019955	cytokine binding	0.0037563287554137	0.0037563287554137	+1	12
GO:0005504	fatty acid binding	0.00821158978707325	0.00821158978707325	+1	7
GO:0033293	monocarboxylic acid binding	0.0337824729662258	0.0337824729662258	+1	8
HPA:0640000	endometrium	0.0409114815884978	0.0409114815884978	+1	10
WP:WP716	Vitamin A and carotenoid metabolism	0.00470550987933588	0.00470550987933588	+1	7
