GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:3055	Nop56p-associated pre-rRNA complex	7.15315417678112e-10	7.15315417678112e-10	+1	32
CORUM:306	Ribosome, cytoplasmic	1.20449845232126e-09	1.20449845232126e-09	+1	28
CORUM:308	60S ribosomal subunit, cytoplasmic	8.858615157063e-06	8.858615157063e-06	+1	17
CORUM:338	40S ribosomal subunit, cytoplasmic	0.00348210167991726	0.00348210167991726	+1	11
CORUM:305	40S ribosomal subunit, cytoplasmic	0.00722368815874919	0.00722368815874919	+1	11
CORUM:1332	Large Drosha complex	0.0316368473226378	0.0316368473226378	+1	8
CORUM:5380	TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)	0.0471506446660462	0.0471506446660462	+1	8
GO:0002181	cytoplasmic translation	2.39330106206658e-16	2.39330106206658e-16	+1	42
GO:1901564	organonitrogen compound metabolic process	4.02455845716399e-16	4.02455845716399e-16	+1	433
GO:0006518	peptide metabolic process	1.06632871485596e-13	1.06632871485596e-13	+1	108
GO:0044271	cellular nitrogen compound biosynthetic process	1.63288310685854e-13	1.63288310685854e-13	+1	358
GO:1901566	organonitrogen compound biosynthetic process	3.18881461844411e-13	3.18881461844411e-13	+1	168
GO:0006412	translation	9.61820996251942e-13	9.61820996251942e-13	+1	91
GO:0043043	peptide biosynthetic process	1.36640968644882e-12	1.36640968644882e-12	+1	93
GO:0042254	ribosome biogenesis	1.08738778484395e-11	1.08738778484395e-11	+1	54
GO:0043603	amide metabolic process	1.26866344051343e-11	1.26866344051343e-11	+1	124
GO:0043604	amide biosynthetic process	4.47443392020891e-11	4.47443392020891e-11	+1	100
GO:0019538	protein metabolic process	8.75956507284996e-11	8.75956507284996e-11	+1	351
GO:0051171	regulation of nitrogen compound metabolic process	3.28397801815482e-10	3.28397801815482e-10	+1	378
GO:0080090	regulation of primary metabolic process	1.87635100029404e-08	1.87635100029404e-08	+1	378
GO:0044248	cellular catabolic process	1.02050647535292e-07	1.02050647535292e-07	+1	140
GO:0009056	catabolic process	1.93049184906484e-07	1.93049184906484e-07	+1	199
GO:0006807	nitrogen compound metabolic process	3.31454510181264e-07	3.31454510181264e-07	+1	700
