GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:306	Ribosome, cytoplasmic	1.52750135293658e-14	1.52750135293658e-14	+1	30
CORUM:3055	Nop56p-associated pre-rRNA complex	2.21724430600082e-11	2.21724430600082e-11	+1	30
CORUM:308	60S ribosomal subunit, cytoplasmic	1.41914173423784e-09	1.41914173423784e-09	+1	19
CORUM:5380	TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)	6.35054835216615e-05	6.35054835216615e-05	+1	10
CORUM:338	40S ribosomal subunit, cytoplasmic	0.000267155732553078	0.000267155732553078	+1	11
CORUM:305	40S ribosomal subunit, cytoplasmic	0.000576932095139282	0.000576932095139282	+1	11
GO:0002181	cytoplasmic translation	1.7096676113932e-15	1.7096676113932e-15	+1	38
GO:0006518	peptide metabolic process	1.00996725228687e-10	1.00996725228687e-10	+1	90
GO:1901564	organonitrogen compound metabolic process	1.34231917238068e-10	1.34231917238068e-10	+1	354
GO:1901566	organonitrogen compound biosynthetic process	6.30225806341478e-10	6.30225806341478e-10	+1	139
GO:0044271	cellular nitrogen compound biosynthetic process	3.21802924435693e-09	3.21802924435693e-09	+1	294
GO:0043603	amide metabolic process	6.93496907524514e-09	6.93496907524514e-09	+1	103
GO:0006412	translation	2.87354754952007e-08	2.87354754952007e-08	+1	72
GO:0042254	ribosome biogenesis	5.60254761721843e-08	5.60254761721843e-08	+1	43
GO:0043043	peptide biosynthetic process	6.81817835952959e-08	6.81817835952959e-08	+1	73
GO:0043604	amide biosynthetic process	6.66312565565008e-07	6.66312565565008e-07	+1	79
GO:0019538	protein metabolic process	7.16886082795861e-07	7.16886082795861e-07	+1	287
GO:0051171	regulation of nitrogen compound metabolic process	1.5693505547075e-06	1.5693505547075e-06	+1	310
GO:0048518	positive regulation of biological process	6.29928243575038e-06	6.29928243575038e-06	+1	344
GO:0048523	negative regulation of cellular process	1.2645622999108e-05	1.2645622999108e-05	+1	310
GO:0048522	positive regulation of cellular process	1.31143535859917e-05	1.31143535859917e-05	+1	318
GO:0048519	negative regulation of biological process	2.16910287752493e-05	2.16910287752493e-05	+1	324
GO:0065007	biological regulation	3.31104036631127e-05	3.31104036631127e-05	+1	614
GO:0080090	regulation of primary metabolic process	3.3825448585943e-05	3.3825448585943e-05	+1	310
GO:0042255	ribosome assembly	9.37244010811542e-05	9.37244010811542e-05	+1	15
GO:0006364	rRNA processing	0.000199570599603107	0.000199570599603107	+1	29
GO:0009056	catabolic process	0.000209881843324352	0.000209881843324352	+1	161
GO:0009893	positive regulation of metabolic process	0.000280188651466757	0.000280188651466757	+1	217
GO:0048583	regulation of response to stimulus	0.000412800594738331	0.000412800594738331	+1	227
GO:0009966	regulation of signal transduction	0.000444751787404518	0.000444751787404518	+1	182
GO:0050794	regulation of cellular process	0.000464474916722273	0.000464474916722273	+1	569
GO:0016072	rRNA metabolic process	0.000616998262407296	0.000616998262407296	+1	31
GO:0019222	regulation of metabolic process	0.000644522113913262	0.000644522113913262	+1	373
GO:0034470	ncRNA processing	0.000646042614221867	0.000646042614221867	+1	43
GO:0010646	regulation of cell communication	0.000716967106195669	0.000716967106195669	+1	202
GO:0050789	regulation of biological process	0.000789001146661423	0.000789001146661423	+1	590
GO:0031325	positive regulation of cellular metabolic process	0.000826270651666744	0.000826270651666744	+1	197
GO:0044248	cellular catabolic process	0.000959718419420743	0.000959718419420743	+1	109
GO:0023051	regulation of signaling	0.00151383796904159	0.00151383796904159	+1	200
GO:0032502	developmental process	0.00168808680473901	0.00168808680473901	+1	339
GO:0051252	regulation of RNA metabolic process	0.0019241356954952	0.0019241356954952	+1	215
GO:0006915	apoptotic process	0.00197258605679228	0.00197258605679228	+1	124
GO:0051173	positive regulation of nitrogen compound metabolic process	0.00226757753078017	0.00226757753078017	+1	178
GO:0010604	positive regulation of macromolecule metabolic process	0.00251222521075226	0.00251222521075226	+1	198
GO:0019438	aromatic compound biosynthetic process	0.00252637244886437	0.00252637244886437	+1	231
GO:0034660	ncRNA metabolic process	0.00266465171107937	0.00266465171107937	+1	54
GO:0051254	positive regulation of RNA metabolic process	0.00310655543371679	0.00310655543371679	+1	120
GO:0048856	anatomical structure development	0.00361697709400336	0.00361697709400336	+1	312
GO:0018130	heterocycle biosynthetic process	0.0045415067675068	0.0045415067675068	+1	229
GO:0012501	programmed cell death	0.00456780541112765	0.00456780541112765	+1	126
GO:0008219	cell death	0.00505962018431691	0.00505962018431691	+1	126
GO:1901362	organic cyclic compound biosynthetic process	0.00537256758817495	0.00537256758817495	+1	236
GO:0019219	regulation of nucleobase-containing compound metabolic process	0.00678216462317393	0.00678216462317393	+1	226
GO:0032880	regulation of protein localization	0.00763224516338184	0.00763224516338184	+1	67
GO:0006996	organelle organization	0.00930544004269441	0.00930544004269441	+1	204
GO:0042274	ribosomal small subunit biogenesis	0.0117387684169005	0.0117387684169005	+1	16
GO:0031323	regulation of cellular metabolic process	0.0124614092369477	0.0124614092369477	+1	343
GO:0060341	regulation of cellular localization	0.0136930702701029	0.0136930702701029	+1	72
GO:0044281	small molecule metabolic process	0.0144538998913848	0.0144538998913848	+1	115
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	0.0150500062710061	0.0150500062710061	+1	127
GO:0051172	negative regulation of nitrogen compound metabolic process	0.0189426155991297	0.0189426155991297	+1	134
GO:0009894	regulation of catabolic process	0.0211313331993994	0.0211313331993994	+1	73
GO:0009889	regulation of biosynthetic process	0.0211600222889489	0.0211600222889489	+1	303
GO:0031329	regulation of cellular catabolic process	0.0215589219770971	0.0215589219770971	+1	54
GO:0006807	nitrogen compound metabolic process	0.0243963063191865	0.0243963063191865	+1	568
GO:1901575	organic substance catabolic process	0.0252307505081637	0.0252307505081637	+1	127
GO:0010647	positive regulation of cell communication	0.0257693682580243	0.0257693682580243	+1	112
GO:0023056	positive regulation of signaling	0.0264193390679628	0.0264193390679628	+1	112
GO:0045893	positive regulation of DNA-templated transcription	0.0289123966253439	0.0289123966253439	+1	108
GO:1902680	positive regulation of RNA biosynthetic process	0.0311878325125841	0.0311878325125841	+1	108
GO:0034654	nucleobase-containing compound biosynthetic process	0.0340531827976518	0.0340531827976518	+1	220
GO:0060255	regulation of macromolecule metabolic process	0.0342943553320241	0.0342943553320241	+1	338
GO:0031326	regulation of cellular biosynthetic process	0.0353511608725947	0.0353511608725947	+1	300
GO:0050793	regulation of developmental process	0.0363559540035473	0.0363559540035473	+1	145
GO:0022626	cytosolic ribosome	2.71473204063089e-19	2.71473204063089e-19	+1	36
GO:0044391	ribosomal subunit	1.71072488976635e-16	1.71072488976635e-16	+1	42
GO:0005829	cytosol	5.87084069245369e-16	5.87084069245369e-16	+1	345
