GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0065007	biological regulation	7.81170175850004e-09	7.81170175850004e-09	+1	387
GO:0050789	regulation of biological process	1.65794654406636e-08	1.65794654406636e-08	+1	377
GO:0006955	immune response	4.57592959395724e-08	4.57592959395724e-08	+1	98
GO:0050794	regulation of cellular process	2.61351937467948e-07	2.61351937467948e-07	+1	360
GO:0002682	regulation of immune system process	9.7799947171234e-07	9.7799947171234e-07	+1	78
GO:0019222	regulation of metabolic process	1.07287559368702e-06	1.07287559368702e-06	+1	244
GO:0002684	positive regulation of immune system process	1.36168396202505e-06	1.36168396202505e-06	+1	61
GO:0002376	immune system process	1.56905439535504e-06	1.56905439535504e-06	+1	119
GO:0050896	response to stimulus	1.61252693620763e-06	1.61252693620763e-06	+1	290
GO:0048518	positive regulation of biological process	1.66985733684834e-06	1.66985733684834e-06	+1	219
GO:0031323	regulation of cellular metabolic process	3.57958632673143e-06	3.57958632673143e-06	+1	229
GO:0050776	regulation of immune response	5.41685270331451e-06	5.41685270331451e-06	+1	53
GO:0060255	regulation of macromolecule metabolic process	5.81976992784729e-06	5.81976992784729e-06	+1	227
GO:0051239	regulation of multicellular organismal process	8.92317131299948e-06	8.92317131299948e-06	+1	122
GO:0048522	positive regulation of cellular process	2.07980503632098e-05	2.07980503632098e-05	+1	200
GO:0007154	cell communication	3.7849682104718e-05	3.7849682104718e-05	+1	221
GO:1901362	organic cyclic compound biosynthetic process	4.57055544825187e-05	4.57055544825187e-05	+1	158
GO:0023052	signaling	5.17052258534672e-05	5.17052258534672e-05	+1	218
GO:0019438	aromatic compound biosynthetic process	7.04905604369506e-05	7.04905604369506e-05	+1	153
GO:0010033	response to organic substance	7.47980462311519e-05	7.47980462311519e-05	+1	109
GO:0051171	regulation of nitrogen compound metabolic process	7.62177628681114e-05	7.62177628681114e-05	+1	190
GO:0006952	defense response	8.0672276847662e-05	8.0672276847662e-05	+1	82
GO:0048584	positive regulation of response to stimulus	0.00011808145395127	0.00011808145395127	+1	97
GO:0035556	intracellular signal transduction	0.000138484379532857	0.000138484379532857	+1	109
GO:0009889	regulation of biosynthetic process	0.000140795351051014	0.000140795351051014	+1	199
GO:0023051	regulation of signaling	0.000146233155862446	0.000146233155862446	+1	132
GO:0071310	cellular response to organic substance	0.000150326140580658	0.000150326140580658	+1	87
GO:0031326	regulation of cellular biosynthetic process	0.000150678009027459	0.000150678009027459	+1	198
GO:0010646	regulation of cell communication	0.000162238532566866	0.000162238532566866	+1	132
GO:0018130	heterocycle biosynthetic process	0.000182056167624467	0.000182056167624467	+1	151
GO:0048583	regulation of response to stimulus	0.00020767349149088	0.00020767349149088	+1	146
GO:0050778	positive regulation of immune response	0.000220129424398707	0.000220129424398707	+1	43
GO:0080090	regulation of primary metabolic process	0.000230891983352001	0.000230891983352001	+1	192
GO:0051240	positive regulation of multicellular organismal process	0.000334504472297252	0.000334504472297252	+1	75
GO:0001775	cell activation	0.000463485914613667	0.000463485914613667	+1	56
