GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0065007	biological regulation	4.16359076397321e-09	4.16359076397321e-09	+1	371
GO:0050789	regulation of biological process	6.3231956838371e-09	6.3231956838371e-09	+1	362
GO:0006955	immune response	3.24410014610992e-08	3.24410014610992e-08	+1	95
GO:0050794	regulation of cellular process	4.83474604727229e-08	4.83474604727229e-08	+1	347
GO:0050896	response to stimulus	1.30914460078245e-07	1.30914460078245e-07	+1	282
GO:0048518	positive regulation of biological process	9.73061395659609e-07	9.73061395659609e-07	+1	211
GO:0002376	immune system process	1.1751326100777e-06	1.1751326100777e-06	+1	115
GO:0002682	regulation of immune system process	3.21032916594312e-06	3.21032916594312e-06	+1	74
GO:0019222	regulation of metabolic process	3.23968805363964e-06	3.23968805363964e-06	+1	232
GO:0051239	regulation of multicellular organismal process	5.97081064596099e-06	5.97081064596099e-06	+1	118
GO:0048522	positive regulation of cellular process	6.17734267152866e-06	6.17734267152866e-06	+1	194
GO:0050776	regulation of immune response	7.56882468471243e-06	7.56882468471243e-06	+1	51
GO:0031323	regulation of cellular metabolic process	8.71763267512415e-06	8.71763267512415e-06	+1	218
GO:0002684	positive regulation of immune system process	9.99009600062318e-06	9.99009600062318e-06	+1	57
GO:0023052	signaling	1.73758248662911e-05	1.73758248662911e-05	+1	211
GO:0006952	defense response	1.81058595821542e-05	1.81058595821542e-05	+1	81
GO:0007154	cell communication	2.03877009090497e-05	2.03877009090497e-05	+1	213
GO:0060255	regulation of macromolecule metabolic process	2.51567331020249e-05	2.51567331020249e-05	+1	215
GO:0010033	response to organic substance	3.58052711482633e-05	3.58052711482633e-05	+1	106
GO:0048584	positive regulation of response to stimulus	3.87156902856198e-05	3.87156902856198e-05	+1	95
GO:1901362	organic cyclic compound biosynthetic process	3.9378429754638e-05	3.9378429754638e-05	+1	152
GO:0071310	cellular response to organic substance	6.4183776378746e-05	6.4183776378746e-05	+1	85
GO:0019438	aromatic compound biosynthetic process	6.86207721554335e-05	6.86207721554335e-05	+1	147
GO:0032501	multicellular organismal process	7.02501900136363e-05	7.02501900136363e-05	+1	239
GO:0023051	regulation of signaling	7.34042017778661e-05	7.34042017778661e-05	+1	128
GO:0009889	regulation of biosynthetic process	0.000127952728220372	0.000127952728220372	+1	191
GO:0035556	intracellular signal transduction	0.000128383286134188	0.000128383286134188	+1	105
GO:0048583	regulation of response to stimulus	0.000132868112529312	0.000132868112529312	+1	141
GO:0031326	regulation of cellular biosynthetic process	0.000140099231885874	0.000140099231885874	+1	190
GO:0045087	innate immune response	0.000146480071714987	0.000146480071714987	+1	51
GO:0010646	regulation of cell communication	0.000149361043421624	0.000149361043421624	+1	127
GO:0051171	regulation of nitrogen compound metabolic process	0.000150236908347933	0.000150236908347933	+1	181
GO:0006954	inflammatory response	0.000167081049251204	0.000167081049251204	+1	46
GO:0018130	heterocycle biosynthetic process	0.000182559924329425	0.000182559924329425	+1	145
GO:0051240	positive regulation of multicellular organismal process	0.000199596497470122	0.000199596497470122	+1	73
GO:0141124	intracellular signaling cassette	0.00020507869357789	0.00020507869357789	+1	80
GO:0070887	cellular response to chemical stimulus	0.00032470706087144	0.00032470706087144	+1	104
GO:0051716	cellular response to stimulus	0.000351580554524586	0.000351580554524586	+1	229
GO:0080090	regulation of primary metabolic process	0.000411920260872293	0.000411920260872293	+1	183
GO:0050778	positive regulation of immune response	0.000420548112182903	0.000420548112182903	+1	41
GO:0009966	regulation of signal transduction	0.000424462145364528	0.000424462145364528	+1	113
GO:0051707	response to other organism	0.000485695414580965	0.000485695414580965	+1	69
GO:0034654	nucleobase-containing compound biosynthetic process	0.00052070109227574	0.00052070109227574	+1	141
GO:0043207	response to external biotic stimulus	0.000522108871742977	0.000522108871742977	+1	69
GO:0001816	cytokine production	0.00052886897574913	0.00052886897574913	+1	43
GO:0010647	positive regulation of cell communication	0.000561663904679759	0.000561663904679759	+1	76
GO:0010556	regulation of macromolecule biosynthetic process	0.000568237174446268	0.000568237174446268	+1	184
GO:0023056	positive regulation of signaling	0.000574341709311728	0.000574341709311728	+1	76
GO:0008283	cell population proliferation	0.000575847812830321	0.000575847812830321	+1	83
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	0.000613310164435496	0.000613310164435496	+1	18
GO:2001141	regulation of RNA biosynthetic process	0.000682385924499753	0.000682385924499753	+1	125
GO:0051252	regulation of RNA metabolic process	0.000797792659682975	0.000797792659682975	+1	133
GO:0006355	regulation of DNA-templated transcription	0.00090688919359269	0.00090688919359269	+1	124
GO:0009891	positive regulation of biosynthetic process	0.000920091554296444	0.000920091554296444	+1	103
GO:0140546	defense response to symbiont	0.000920850735457115	0.000920850735457115	+1	54
GO:0031347	regulation of defense response	0.000943890400453465	0.000943890400453465	+1	42
GO:1900182	positive regulation of protein localization to nucleus	0.000967875902688552	0.000967875902688552	+1	13
GO:0006950	response to stress	0.00106462963495437	0.00106462963495437	+1	135
GO:0032774	RNA biosynthetic process	0.00107383559026926	0.00107383559026926	+1	128
GO:0051896	regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	0.00107465007484878	0.00107465007484878	+1	21
GO:0001817	regulation of cytokine production	0.00112052298298849	0.00112052298298849	+1	42
GO:0006351	DNA-templated transcription	0.00114503997887049	0.00114503997887049	+1	127
GO:0031328	positive regulation of cellular biosynthetic process	0.00117053936117127	0.00117053936117127	+1	102
GO:0001775	cell activation	0.0011787852352851	0.0011787852352851	+1	53
GO:0009607	response to biotic stimulus	0.0011893360982603	0.0011893360982603	+1	69
GO:0042127	regulation of cell population proliferation	0.00121807915313382	0.00121807915313382	+1	72
GO:0009605	response to external stimulus	0.00124098389551721	0.00124098389551721	+1	103
GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	0.00126107214581535	0.00126107214581535	+1	23
GO:0002699	positive regulation of immune effector process	0.00131170769270227	0.00131170769270227	+1	21
GO:0010468	regulation of gene expression	0.00131958907844669	0.00131958907844669	+1	179
GO:0009967	positive regulation of signal transduction	0.00139083483722443	0.00139083483722443	+1	68
GO:0042221	response to chemical	0.00162491509292397	0.00162491509292397	+1	137
GO:0001819	positive regulation of cytokine production	0.00167547222804319	0.00167547222804319	+1	31
GO:0032101	regulation of response to external stimulus	0.00178372008206808	0.00178372008206808	+1	52
GO:0034097	response to cytokine	0.00190905138824992	0.00190905138824992	+1	47
GO:0007155	cell adhesion	0.00194328854197378	0.00194328854197378	+1	66
GO:0018108	peptidyl-tyrosine phosphorylation	0.00219692938958554	0.00219692938958554	+1	21
GO:0051249	regulation of lymphocyte activation	0.00226493250848817	0.00226493250848817	+1	31
GO:0007165	signal transduction	0.00229203278016719	0.00229203278016719	+1	189
GO:0018212	peptidyl-tyrosine modification	0.00249059666618289	0.00249059666618289	+1	21
GO:0010557	positive regulation of macromolecule biosynthetic process	0.0031385477050231	0.0031385477050231	+1	98
GO:0010628	positive regulation of gene expression	0.00315466087479491	0.00315466087479491	+1	55
GO:0098542	defense response to other organism	0.003181858876789	0.003181858876789	+1	56
GO:0046649	lymphocyte activation	0.00395057104601982	0.00395057104601982	+1	41
GO:0019219	regulation of nucleobase-containing compound metabolic process	0.00432216363338353	0.00432216363338353	+1	138
GO:0022409	positive regulation of cell-cell adhesion	0.00517758601041824	0.00517758601041824	+1	23
GO:0002764	immune response-regulating signaling pathway	0.00539839028504575	0.00539839028504575	+1	30
GO:0031325	positive regulation of cellular metabolic process	0.00540040674874525	0.00540040674874525	+1	118
GO:0009893	positive regulation of metabolic process	0.00547315079768299	0.00547315079768299	+1	128
