PLP1	UniProtKB:P60201	Myelin proteolipid protein
ZDHHC11	UniProtKB:Q9H8X9	Palmitoyltransferase ZDHHC11
ZDHHC11	UniProtKB:Q9H8X9	Palmitoyltransferase ZDHHC11
DEFB109D	UniProtKB:A0AAG2UXJ2	Beta/alpha-defensin C-terminal domain-containing protein
CRIPTO	UniProtKB:P13385	Protein Cripto
ANKFN1	UniProtKB:Q8N957	Ankyrin repeat and fibronectin type-III domain-containing protein 1
PGLYRP2	UniProtKB:Q96PD5	N-acetylmuramoyl-L-alanine amidase
PGLYRP2	UniProtKB:Q96PD5	N-acetylmuramoyl-L-alanine amidase
PGLYRP2	UniProtKB:Q96PD5	N-acetylmuramoyl-L-alanine amidase
RNASE9	UniProtKB:P60153	Inactive ribonuclease-like protein 9
DEFB118	UniProtKB:Q96PH6	Defensin beta 118
DEFB118	UniProtKB:Q96PH6	Defensin beta 118
DEFB118	UniProtKB:Q96PH6	Defensin beta 118
DEFB118	UniProtKB:Q96PH6	Defensin beta 118
DEFB118	UniProtKB:Q96PH6	Defensin beta 118
DEFB118	UniProtKB:Q96PH6	Defensin beta 118
DEFB118	UniProtKB:Q96PH6	Defensin beta 118
TARM1	UniProtKB:B6A8C7	T-cell-interacting, activating receptor on myeloid cells protein 1
TNFSF4	UniProtKB:P23510	Tumor necrosis factor ligand superfamily member 4
TNFSF4	UniProtKB:P23510	Tumor necrosis factor ligand superfamily member 4
TNFSF4	UniProtKB:P23510	Tumor necrosis factor ligand superfamily member 4
CGAS	UniProtKB:Q8N884	Cyclic GMP-AMP synthase
CGAS	UniProtKB:Q8N884	Cyclic GMP-AMP synthase
CGAS	UniProtKB:Q8N884	Cyclic GMP-AMP synthase
CGAS	UniProtKB:Q8N884	Cyclic GMP-AMP synthase
CGAS	UniProtKB:Q8N884	Cyclic GMP-AMP synthase
CGAS	UniProtKB:Q8N884	Cyclic GMP-AMP synthase
ODAM	UniProtKB:A1E959	Odontogenic ameloblast-associated protein
IL4R	UniProtKB:P24394	Interleukin-4 receptor subunit alpha
IL4R	UniProtKB:P24394	Interleukin-4 receptor subunit alpha
PLK5	UniProtKB:Q496M5	Inactive serine/threonine-protein kinase PLK5
SP100	UniProtKB:P23497	Nuclear autoantigen Sp-100
SP100	UniProtKB:P23497	Nuclear autoantigen Sp-100
SP100	UniProtKB:P23497	Nuclear autoantigen Sp-100
SP100	UniProtKB:P23497	Nuclear autoantigen Sp-100
SP100	UniProtKB:P23497	Nuclear autoantigen Sp-100
SP100	UniProtKB:P23497	Nuclear autoantigen Sp-100
SP100	UniProtKB:P23497	Nuclear autoantigen Sp-100
SP100	UniProtKB:P23497	Nuclear autoantigen Sp-100
SP100	UniProtKB:P23497	Nuclear autoantigen Sp-100
SP100	UniProtKB:P23497	Nuclear autoantigen Sp-100
SP100	UniProtKB:P23497	Nuclear autoantigen Sp-100
S100A12	UniProtKB:P80511	Protein S100-A12
S100A12	UniProtKB:P80511	Protein S100-A12
S100A12	UniProtKB:P80511	Protein S100-A12
S100A12	UniProtKB:P80511	Protein S100-A12
S100A12	UniProtKB:P80511	Protein S100-A12
S100A12	UniProtKB:P80511	Protein S100-A12
S100A12	UniProtKB:P80511	Protein S100-A12
JAK1	UniProtKB:P23458	Tyrosine-protein kinase JAK1
JAK1	UniProtKB:P23458	Tyrosine-protein kinase JAK1
JAK1	UniProtKB:P23458	Tyrosine-protein kinase JAK1
JAK1	UniProtKB:P23458	Tyrosine-protein kinase JAK1
JAK1	UniProtKB:P23458	Tyrosine-protein kinase JAK1
JAK1	UniProtKB:P23458	Tyrosine-protein kinase JAK1
JAK1	UniProtKB:P23458	Tyrosine-protein kinase JAK1
JAK1	UniProtKB:P23458	Tyrosine-protein kinase JAK1
RPS6KB1	UniProtKB:P23443	Ribosomal protein S6 kinase beta-1
RPS6KB1	UniProtKB:P23443	Ribosomal protein S6 kinase beta-1
VPS26B	UniProtKB:Q4G0F5	Vacuolar protein sorting-associated protein 26B
CXCL6	UniProtKB:P80162	C-X-C motif chemokine 6
CXCL6	UniProtKB:P80162	C-X-C motif chemokine 6
CXCL6	UniProtKB:P80162	C-X-C motif chemokine 6
CXCL6	UniProtKB:P80162	C-X-C motif chemokine 6
LILRB2	UniProtKB:Q8N423	Leukocyte immunoglobulin-like receptor subfamily B member 2
KLRF1	UniProtKB:Q9NZS2	Killer cell lectin-like receptor subfamily F member 1
ADAM8	UniProtKB:P78325	Disintegrin and metalloproteinase domain-containing protein 8
ADAM8	UniProtKB:P78325	Disintegrin and metalloproteinase domain-containing protein 8
ADAM8	UniProtKB:P78325	Disintegrin and metalloproteinase domain-containing protein 8
ADAM8	UniProtKB:P78325	Disintegrin and metalloproteinase domain-containing protein 8
LSP1	UniProtKB:P33241	Lymphocyte-specific protein 1
SLC18A2	UniProtKB:Q05940	Synaptic vesicular amine transporter
SLC18A2	UniProtKB:Q05940	Synaptic vesicular amine transporter
CCL7	UniProtKB:P80098	C-C motif chemokine 7
CCL7	UniProtKB:P80098	C-C motif chemokine 7
RIPK1	UniProtKB:Q13546	Receptor-interacting serine/threonine-protein kinase 1
CCL8	UniProtKB:P80075	C-C motif chemokine 8
CCL8	UniProtKB:P80075	C-C motif chemokine 8
CCL8	UniProtKB:P80075	C-C motif chemokine 8
TNFRSF4	UniProtKB:P43489	Tumor necrosis factor receptor superfamily member 4
H2BC11	UniProtKB:P06899	Histone H2B type 1-J
H2BC11	UniProtKB:P06899	Histone H2B type 1-J
H2BC11	UniProtKB:P06899	Histone H2B type 1-J
H2BC11	UniProtKB:P06899	Histone H2B type 1-J
H2BC11	UniProtKB:P06899	Histone H2B type 1-J
H2BC11	UniProtKB:P06899	Histone H2B type 1-J
H2BC11	UniProtKB:P06899	Histone H2B type 1-J
CALCA	UniProtKB:P06881	Calcitonin gene-related peptide 1
CALCA	UniProtKB:P06881	Calcitonin gene-related peptide 1
CALCA	UniProtKB:P06881	Calcitonin gene-related peptide 1
CALCA	UniProtKB:P06881	Calcitonin gene-related peptide 1
CALCA	UniProtKB:P06881	Calcitonin gene-related peptide 1
CALCA	UniProtKB:P06881	Calcitonin gene-related peptide 1
PELI3	UniProtKB:Q8N2H9	E3 ubiquitin-protein ligase pellino homolog 3
SYK	UniProtKB:P43405	Tyrosine-protein kinase SYK
