PLP1	UniProtKB:P60201	Myelin proteolipid protein
TNFSF4	UniProtKB:P23510	Tumor necrosis factor ligand superfamily member 4
TNFSF4	UniProtKB:P23510	Tumor necrosis factor ligand superfamily member 4
ODAM	UniProtKB:A1E959	Odontogenic ameloblast-associated protein
IL4R	UniProtKB:P24394	Interleukin-4 receptor subunit alpha
S100A12	UniProtKB:P80511	Protein S100-A12
CXCL6	UniProtKB:P80162	C-X-C motif chemokine 6
ADAM8	UniProtKB:P78325	Disintegrin and metalloproteinase domain-containing protein 8
ADAM8	UniProtKB:P78325	Disintegrin and metalloproteinase domain-containing protein 8
ADAM8	UniProtKB:P78325	Disintegrin and metalloproteinase domain-containing protein 8
ADAM8	UniProtKB:P78325	Disintegrin and metalloproteinase domain-containing protein 8
SLC18A2	UniProtKB:Q05940	Synaptic vesicular amine transporter
SLC18A2	UniProtKB:Q05940	Synaptic vesicular amine transporter
CCL7	UniProtKB:P80098	C-C motif chemokine 7
RIPK1	UniProtKB:Q13546	Receptor-interacting serine/threonine-protein kinase 1
CCL8	UniProtKB:P80075	C-C motif chemokine 8
TNFRSF4	UniProtKB:P43489	Tumor necrosis factor receptor superfamily member 4
SYK	UniProtKB:P43405	Tyrosine-protein kinase SYK
CRH	UniProtKB:P06850	Corticoliberin
CX3CL1	UniProtKB:P78423	Fractalkine
CX3CL1	UniProtKB:P78423	Fractalkine
CX3CL1	UniProtKB:P78423	Fractalkine
THEMIS2	UniProtKB:Q5TEJ8	Protein THEMIS2
POMGNT1	UniProtKB:Q8WZA1	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1
NLRP10	UniProtKB:Q86W26	NACHT, LRR and PYD domains-containing protein 10
IDO1	UniProtKB:P14902	Indoleamine 2,3-dioxygenase 1
PTGIR	UniProtKB:P43119	Prostacyclin receptor
PTGER2	UniProtKB:P43116	Prostaglandin E2 receptor EP2 subtype
PTGER3	UniProtKB:P43115	Prostaglandin E2 receptor EP3 subtype
KCNJ8	UniProtKB:Q15842	ATP-sensitive inward rectifier potassium channel 8
KCNJ8	UniProtKB:Q15842	ATP-sensitive inward rectifier potassium channel 8
KCNJ8	UniProtKB:Q15842	ATP-sensitive inward rectifier potassium channel 8
LOXL3	UniProtKB:P58215	Lysyl oxidase homolog 3
NFX1	UniProtKB:Q12986	Transcriptional repressor NF-X1
NFATC3	UniProtKB:Q12968	Nuclear factor of activated T-cells, cytoplasmic 3
AIM2	UniProtKB:O14862	Interferon-inducible protein AIM2
AIM2	UniProtKB:O14862	Interferon-inducible protein AIM2
AIM2	UniProtKB:O14862	Interferon-inducible protein AIM2
CD96	UniProtKB:P40200	T-cell surface protein tactile
FFAR3	UniProtKB:O14843	Free fatty acid receptor 3
AIMP1	UniProtKB:Q12904	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1
CSRP3	UniProtKB:P50461	Cysteine and glycine-rich protein 3
SCN9A	UniProtKB:Q15858	Sodium channel protein type 9 subunit alpha
CDO1	UniProtKB:Q16878	Cysteine dioxygenase type 1
ADCY8	UniProtKB:P40145	Adenylate cyclase type 8
NR1H4	UniProtKB:Q96RI1	Bile acid receptor
VPS13A	UniProtKB:Q96RL7	Intermembrane lipid transfer protein VPS13A
TMEM258	UniProtKB:P61165	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258
TRPV1	UniProtKB:Q8NER1	Transient receptor potential cation channel subfamily V member 1
TRPV1	UniProtKB:Q8NER1	Transient receptor potential cation channel subfamily V member 1
MFHAS1	UniProtKB:Q9Y4C4	Malignant fibrous histiocytoma-amplified sequence 1
MFHAS1	UniProtKB:Q9Y4C4	Malignant fibrous histiocytoma-amplified sequence 1
MFHAS1	UniProtKB:Q9Y4C4	Malignant fibrous histiocytoma-amplified sequence 1
MFHAS1	UniProtKB:Q9Y4C4	Malignant fibrous histiocytoma-amplified sequence 1
IL17RE	UniProtKB:Q8NFR9	Interleukin-17 receptor E
CCL3	UniProtKB:P10147	C-C motif chemokine 3
CCL3	UniProtKB:P10147	C-C motif chemokine 3
CCL3	UniProtKB:P10147	C-C motif chemokine 3
GZMB	UniProtKB:P10144	Granzyme B
GZMB	UniProtKB:P10144	Granzyme B
SEMA7A	UniProtKB:O75326	Semaphorin-7A
ZBP1	UniProtKB:Q9H171	Z-DNA-binding protein 1
KLKB1	UniProtKB:P03952	Plasma kallikrein
IL17RC	UniProtKB:Q8NAC3	Interleukin-17 receptor C
CSF1R	UniProtKB:P07333	Macrophage colony-stimulating factor 1 receptor
CD6	UniProtKB:P30203	T-cell differentiation antigen CD6
CLU	UniProtKB:P10909	Clusterin
HP	UniProtKB:P00738	Haptoglobin
TLR9	UniProtKB:Q9NR96	Toll-like receptor 9
TLR9	UniProtKB:Q9NR96	Toll-like receptor 9
NLRP4	UniProtKB:Q96MN2	NACHT, LRR and PYD domains-containing protein 4
SCG2	UniProtKB:P13521	Secretogranin-2
CARD8	UniProtKB:Q9Y2G2	Caspase recruitment domain-containing protein 8
CARD8	UniProtKB:Q9Y2G2	Caspase recruitment domain-containing protein 8
CARD8	UniProtKB:Q9Y2G2	Caspase recruitment domain-containing protein 8
CARD8	UniProtKB:Q9Y2G2	Caspase recruitment domain-containing protein 8
CARD8	UniProtKB:Q9Y2G2	Caspase recruitment domain-containing protein 8
CARD8	UniProtKB:Q9Y2G2	Caspase recruitment domain-containing protein 8
CARD8	UniProtKB:Q9Y2G2	Caspase recruitment domain-containing protein 8
CARD8	UniProtKB:Q9Y2G2	Caspase recruitment domain-containing protein 8
CARD8	UniProtKB:Q9Y2G2	Caspase recruitment domain-containing protein 8
RASGRP1	UniProtKB:O95267	RAS guanyl-releasing protein 1
IL18RAP	UniProtKB:O95256	Interleukin-18 receptor accessory protein
STAT3	UniProtKB:P40763	Signal transducer and activator of transcription 3
APOL3	UniProtKB:O95236	Apolipoprotein L3
H2BC1	UniProtKB:Q96A08	Histone H2B type 1-A
AGR2	UniProtKB:O95994	Anterior gradient protein 2 homolog
CHST4	UniProtKB:Q8NCG5	Carbohydrate sulfotransferase 4
CYSLTR1	UniProtKB:Q9Y271	Cysteinyl leukotriene receptor 1
PLAA	UniProtKB:Q9Y263	Phospholipase A-2-activating protein
