IGLV3-21	UniProtKB:P80748	Immunoglobulin lambda variable 3-21
TARM1	UniProtKB:B6A8C7	T-cell-interacting, activating receptor on myeloid cells protein 1
IL4R	UniProtKB:P24394	Interleukin-4 receptor subunit alpha
IL4R	UniProtKB:P24394	Interleukin-4 receptor subunit alpha
SCART1	UniProtKB:Q4G0T1	Scavenger receptor cysteine-rich domain-containing protein SCART1
JAK1	UniProtKB:P23458	Tyrosine-protein kinase JAK1
LILRB2	UniProtKB:Q8N423	Leukocyte immunoglobulin-like receptor subfamily B member 2
IGHV1-2	UniProtKB:P23083	Immunoglobulin heavy variable 1-2
SYK	UniProtKB:P43405	Tyrosine-protein kinase SYK
SYK	UniProtKB:P43405	Tyrosine-protein kinase SYK
ZAP70	UniProtKB:P43403	Tyrosine-protein kinase ZAP-70
IGKV1D-39	UniProtKB:P04432	Immunoglobulin kappa variable 1D-39
CTSC	UniProtKB:P53634	Dipeptidyl peptidase 1
THEMIS	UniProtKB:Q8N1K5	Protein THEMIS
SHLD2	UniProtKB:Q86V20	Shieldin complex subunit 2
MSH2	UniProtKB:P43246	DNA mismatch repair protein Msh2
MSH2	UniProtKB:P43246	DNA mismatch repair protein Msh2
MSH2	UniProtKB:P43246	DNA mismatch repair protein Msh2
C2	UniProtKB:P06681	Complement C2
RORC	UniProtKB:P51449	Nuclear receptor ROR-gamma
RAPGEF4	UniProtKB:Q8WZA2	Rap guanine nucleotide exchange factor 4
IL7R	UniProtKB:P16871	Interleukin-7 receptor subunit alpha
NLRP10	UniProtKB:Q86W26	NACHT, LRR and PYD domains-containing protein 10
PRKCD	UniProtKB:Q05655	Protein kinase C delta type
KLHL6	UniProtKB:Q8WZ60	Kelch-like protein 6
KCNJ8	UniProtKB:Q15842	ATP-sensitive inward rectifier potassium channel 8
CTNNBL1	UniProtKB:Q8WYA6	Beta-catenin-like protein 1
CD79B	UniProtKB:P40259	B-cell antigen receptor complex-associated protein beta chain
TNFRSF13B	UniProtKB:O14836	Tumor necrosis factor receptor superfamily member 13B
TRBV17	UniProtKB:A0A087X0K7	Probable non-functional T cell receptor beta variable 17
IL6ST	UniProtKB:P40189	Interleukin-6 receptor subunit beta
CR1	UniProtKB:P17927	Complement receptor type 1
CR1	UniProtKB:P17927	Complement receptor type 1
SH2D1B	UniProtKB:O14796	SH2 domain-containing protein 1B
TNFRSF13C	UniProtKB:Q96RJ3	Tumor necrosis factor receptor superfamily member 13C
LILRA3	UniProtKB:Q8N6C8	Leukocyte immunoglobulin-like receptor subfamily A member 3
UNG	UniProtKB:P13051	Uracil-DNA glycosylase
IGKV6D-41	UniProtKB:A0A0C4DH26	Probable non-functional immunoglobulin kappa variable 6D-41
IGHV3-16	UniProtKB:A0A0C4DH30	Probable non-functional immunoglobulin heavy variable 3-16
IGHV1-24	UniProtKB:A0A0C4DH33	Immunoglobulin heavy variable 1-24
IGHV3-38	UniProtKB:A0A0C4DH36	Probable non-functional immunoglobulin heavy variable 3-38
IGHV4-61	UniProtKB:A0A0C4DH41	Immunoglobulin heavy variable 4-61
IGKV1-8	UniProtKB:A0A0C4DH67	Immunoglobulin kappa variable 1-8
IGKV1-6	UniProtKB:A0A0C4DH72	Immunoglobulin kappa variable 1-6
IGKV2-40	UniProtKB:A0A087WW87	Immunoglobulin kappa variable 2-40
LOC102724971	UniProtKB:A0A087WW49	Ig-like domain-containing protein
SIT1	UniProtKB:Q9Y3P8	Signaling threshold-regulating transmembrane adapter 1
BCL3	UniProtKB:P20749	B-cell lymphoma 3 protein
BCL3	UniProtKB:P20749	B-cell lymphoma 3 protein
BCL3	UniProtKB:P20749	B-cell lymphoma 3 protein
RAPGEF3	UniProtKB:O95398	Rap guanine nucleotide exchange factor 3
TRGV3	UniProtKB:P03979	T cell receptor gamma variable 3
HLA-DPA1	UniProtKB:P20036	HLA class II histocompatibility antigen, DP alpha 1 chain
CR2	UniProtKB:P20023	Complement receptor type 2
CR2	UniProtKB:P20023	Complement receptor type 2
FCER1G	UniProtKB:P30273	High affinity immunoglobulin epsilon receptor subunit gamma
C8B	UniProtKB:P07358	Complement component C8 beta chain
C8G	UniProtKB:P07360	Complement component C8 gamma chain
CD6	UniProtKB:P30203	T-cell differentiation antigen CD6
CLU	UniProtKB:P10909	Clusterin
TRBV7-2	UniProtKB:A0A1B0GXF2	T cell receptor beta variable 7-2
PDIA3	UniProtKB:P30101	Protein disulfide-isomerase A3
TRBV7-4	UniProtKB:A0A1B0GX95	T cell receptor beta variable 7-4
TRBV12-5	UniProtKB:A0A1B0GX78	T cell receptor beta variable 12-5
C6	UniProtKB:P13671	Complement component C6
TRAV19	UniProtKB:A0A0A6YYK7	T cell receptor alpha variable 19
TRAV16	UniProtKB:A0A0A6YYK6	T cell receptor alpha variable 16
TRBV7-1	UniProtKB:A0A0A6YYK4	Probable non-functional T cell receptor beta variable 7-1
TRAV8-1	UniProtKB:A0A0A6YYK1	T cell receptor alpha variable 8-1
