CRIPTO	UniProtKB:P13385	Protein Cripto
BMPER	UniProtKB:Q8N8U9	BMP-binding endothelial regulator protein
ADGRA2	UniProtKB:Q96PE1	Adhesion G protein-coupled receptor A2
ADGRA2	UniProtKB:Q96PE1	Adhesion G protein-coupled receptor A2
NPPC	UniProtKB:P23582	C-type natriuretic peptide
PTPRB	UniProtKB:P23467	Receptor-type tyrosine-protein phosphatase beta
GPLD1	UniProtKB:P80108	Phosphatidylinositol-glycan-specific phospholipase D
PLCD3	UniProtKB:Q8N3E9	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3
ADAM8	UniProtKB:P78325	Disintegrin and metalloproteinase domain-containing protein 8
MEIS3P1	UniProtKB:A6NDR6	Putative homeobox protein Meis3-like 1
AGGF1	UniProtKB:Q8N302	Angiogenic factor with G patch and FHA domains 1
SYK	UniProtKB:P43405	Tyrosine-protein kinase SYK
CX3CL1	UniProtKB:P78423	Fractalkine
ARHGAP24	UniProtKB:Q8N264	Rho GTPase-activating protein 24
ADIPOR2	UniProtKB:Q86V24	Adiponectin receptor protein 2
ID1	UniProtKB:P41134	DNA-binding protein inhibitor ID-1
ROBO4	UniProtKB:Q8WZ75	Roundabout homolog 4
MCAM	UniProtKB:P43121	Cell surface glycoprotein MUC18
MCAM	UniProtKB:P43121	Cell surface glycoprotein MUC18
MCAM	UniProtKB:P43121	Cell surface glycoprotein MUC18
PROK1	UniProtKB:P58294	Prokineticin-1
WNT7A	UniProtKB:O00755	Protein Wnt-7a
FOXC1	UniProtKB:Q12948	Forkhead box protein C1
POFUT1	UniProtKB:Q9H488	GDP-fucose protein O-fucosyltransferase 1
PTPRJ	UniProtKB:Q12913	Receptor-type tyrosine-protein phosphatase eta
AIMP1	UniProtKB:Q12904	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1
FAP	UniProtKB:Q12884	Prolyl endopeptidase FAP
WARS1	UniProtKB:P23381	Tryptophan--tRNA ligase, cytoplasmic
PLXND1	UniProtKB:Q9Y4D7	Plexin-D1
