TMEM102	UniProtKB:Q8N9M5	Transmembrane protein 102
AKTIP	UniProtKB:Q9H8T0	AKT-interacting protein
AREL1	UniProtKB:O15033	Apoptosis-resistant E3 ubiquitin protein ligase 1
JMY	UniProtKB:Q8N9B5	Junction-mediating and -regulatory protein
PRKCE	UniProtKB:Q02156	Protein kinase C epsilon type
RNF152	UniProtKB:Q8N8N0	E3 ubiquitin-protein ligase RNF152
PDCD7	UniProtKB:Q8N8D1	Programmed cell death protein 7
AXIN1	UniProtKB:O15169	Axin-1
MEF2A	UniProtKB:Q02078	Myocyte-specific enhancer factor 2A
IL7	UniProtKB:P13232	Interleukin-7
RPS6KB1	UniProtKB:P23443	Ribosomal protein S6 kinase beta-1
KLLN	UniProtKB:B2CW77	Killin
RYBP	UniProtKB:Q8N488	RING1 and YY1-binding protein
SFRP1	UniProtKB:Q8N474	Secreted frizzled-related protein 1
MAP3K9	UniProtKB:P80192	Mitogen-activated protein kinase kinase kinase 9
PPM1K	UniProtKB:Q8N3J5	Protein phosphatase Mn(2+)-dependent 1K
STPG1	UniProtKB:Q5TH74	O(6)-methylguanine-induced apoptosis 2
STPG1	UniProtKB:Q5TH74	O(6)-methylguanine-induced apoptosis 2
DNASE1	UniProtKB:P24855	Deoxyribonuclease-1
SYCE3	UniProtKB:A1L190	Synaptonemal complex central element protein 3
RIPK1	UniProtKB:Q13546	Receptor-interacting serine/threonine-protein kinase 1
RIPK1	UniProtKB:Q13546	Receptor-interacting serine/threonine-protein kinase 1
RIPK1	UniProtKB:Q13546	Receptor-interacting serine/threonine-protein kinase 1
RIPK1	UniProtKB:Q13546	Receptor-interacting serine/threonine-protein kinase 1
RIPK1	UniProtKB:Q13546	Receptor-interacting serine/threonine-protein kinase 1
RIPK1	UniProtKB:Q13546	Receptor-interacting serine/threonine-protein kinase 1
RIPK1	UniProtKB:Q13546	Receptor-interacting serine/threonine-protein kinase 1
SYK	UniProtKB:P43405	Tyrosine-protein kinase SYK
CRH	UniProtKB:P06850	Corticoliberin
CRH	UniProtKB:P06850	Corticoliberin
CX3CL1	UniProtKB:P78423	Fractalkine
CTSC	UniProtKB:P53634	Dipeptidyl peptidase 1
CTSC	UniProtKB:P53634	Dipeptidyl peptidase 1
NR4A2	UniProtKB:P43354	Nuclear receptor subfamily 4 group A member 2
CCAR2	UniProtKB:Q8N163	Cell cycle and apoptosis regulator protein 2
PIM3	UniProtKB:Q86V86	Serine/threonine-protein kinase pim-3
SHISA5	UniProtKB:Q8N114	Protein shisa-5
MSH2	UniProtKB:P43246	DNA mismatch repair protein Msh2
TPT1P8	UniProtKB:Q9HAU6	Putative translationally-controlled tumor protein-like protein TPT1P8
