GSE22155_02,GSE22144_47,GSE35640,GSE61992,GSE91061,GSE22155_02|GSE22144_47,GSE22155_02|GSE35640,GSE22155_02|GSE61992,GSE22155_02|GSE91061,GSE22144_47|GSE35640,GSE22144_47|GSE61992,GSE22144_47|GSE91061,GSE35640|GSE61992,GSE35640|GSE91061,GSE61992|GSE91061,GSE22155_02|GSE22144_47|GSE35640,GSE22155_02|GSE22144_47|GSE91061,GSE22155_02|GSE35640|GSE61992,GSE22155_02|GSE35640|GSE91061,GSE22155_02|GSE61992|GSE91061,GSE22144_47|GSE35640|GSE61992,GSE22144_47|GSE35640|GSE91061,GSE22144_47|GSE61992|GSE91061,GSE35640|GSE61992|GSE91061,GSE22155_02|GSE22144_47|GSE35640|GSE91061,GSE22155_02|GSE22144_47|GSE61992|GSE91061,GSE22155_02|GSE35640|GSE61992|GSE91061,GSE22144_47|GSE35640|GSE61992|GSE91061
CHD4,RGS9BP,RPL41P1,MEX3B,COX7B2,RHOQ,SRCAP,RPL27A,ADIPOR1,CUL1,LGALSL,LAMA1,RPL41,TSTD3,METTL5,UQCRHL,CNOT11,RPL10,LAGE3,RPS29,SETMAR,USE1,REXO5,RGS11,BLK,FCMR,TRMT10C,B4GALT4
VAC14,LHB,RPL41P2,FCER1A,LRRC72,PDE6C,APRT,DNMT3A,MS4A1,MDH2,GSN,FYCO1,RPS11,LINC00426,BBS12,ZNHIT1,UQCRC1,RPS16,MICOS13,TOMM70,TBC1D10C,THAP5,CBR3,SPCS1,AAMP,LCORL,IER3IP1,MRPS22
KTI12,IDS,RPL41P5,H2BC11,PKD1L1-AS1,SRM,RACK1,GFM1,TUFM,TFIP11,DTX4,PIK3CG,RPL24,YTHDF3-DT,HPRT1,VAMP5,PYCR2,CLDND1,PEX19,CYTH3,LRBA,TMA7,INPP4B,TMEM184C,POLE4,,SNX4,NDUFAB1
DSTYK,HSPA4,SNORA21,H2BC12,FILNC1,CHCHD2,TRAPPC2L,GRAMD4,NOC4L,CYCS,FMO1,EYA3,RPL13AP5,RPL19,TIMM9,UQCRH,RASGRF1,RPS10,VPS33B,SLC49A4,TMEM35A,IAH1,SEMA4F,COQ3,CMC1,,,RNF7
PARS2,ITM2A,NACA4P,ACKR1,MIR4689,VPREB3,TMEM208,EN2,CHN2,IL23A,CCDC154,ROCK1,MFSD1,RPL13AP20,FLVCR2,FTL,ATXN7L1,TFG,MRPL43,,RPN1,MRPL27,ARMCX6,UBE2K,PARL,,,
VPS4A,PLXDC1,TSPAN32,SOX4,USP53,TBRG4,YDJC,CHAMP1,TSPAN4,STYXL1,ZNF233,EIF3I,ATP1B3,RPL4,MRPL3,UBA52,POMGNT1,,MRPL33,,,RAD18,TAB3,IBTK,TUBA1B,,,
RNPS1,CCDC74A,RPL24P2,ARHGEF2,LINC00922,TTBK2,TANGO2,POU3F2,RETREG2,GJD4,SLC43A3,TP53TG3D,COX17,ADAMTSL5,NUS1,FASTKD5,PUDP,,UBL7,,,PSMC2,BEX3,SELENOT,APEH,,,
HS1BP3,ALDH3B2,RPL24P8,GALNT12,MTCL3,IGF2BP2-AS1,COPZ1,PRKCD,RAI1,IL17B,RPL37A,RBM28,ACAD9,EVI5L,TACR2,ABCF2,SNX12,,HACD3,,,LSM1,COPB2,,GALE,,,
MAPKAPK2,TPO,OPN1SW,PTPRF,RNLS,RNPEP,GOT2,H2AC17,UBE2M,FBXW10B,LTB,SIN3A,FTO,HMGN2,KIT,TMEM191A,AKIRIN1,,ELOF1,,,CPLANE2,VN1R1,,MRPL24,,,
RNF41,INCENP,ERLNC1,HCN1,MTRNR2L8,NAE1,IGFLR1,SPRED1,RAD23A,HDAC1,RNASE9,BMP2K,LEAP2,ZFAND6,PDCD10,NDUFA1,E2F6,,SDHC,,,FAF1,,,NCAPH2,,,
AKIP1,CARHSP1,GPR52,PLA2G2A,TCERG1L,PDZD7,HAGH,CCDC140,FXR1,SPAM1,ACOT9,AUP1,NOL7,MRFAP1,COQ5,SDF2L1,TBC1D12,,NDUFS7,,,EXOSC9,,,CAPZA2,,,
ASXL2,BASP1,IL25,FBLN2,CLEC17A,ADGRF3,RPS12,PIGM,CORO1C,AJM1,H2BC4,LINC00693,DCANP1,CHMP2A,TUBB2A,ASL,WIPI1,,PSENEN,,,TMEM144,,,POLR2J,,,
TMEM62,KREMEN1,CNTD1,FAM98B,TNNI3,AFG3L1P,MTMR12,SCIN,RNASEH1,ALPG,EIF5A2,NUDC,SUPT3H,LAPTM4A,SNX14,VPS35,ORC5,,CIAO3,,,ELOA,,,UROD,,,
DENND2B,BCL7B,ARR3,PEG10,CHRNB4,DPH3,MGST3,MSN,RPS28,MOBP,ZNF93,UPK1A,CIAO2A,ATP5F1A,RWDD2A,TOMM7,POLR2D,,NDUFA13,,,NDUFV3,,,SMIM12,,,
DHFR,LCE5A,RHBDL1,GSTA4,HEXIM1,NOC2LP2,RPS2,SLC27A1,ANKRD39,RHCE,C4orf36,CNTN5,MBNL1,SLC35B1,DCAKD,LSM10,PRTG,,MRPS12,,,AURKAIP1,,,MRPS7,,,
SRC,EGFEM1P,ZRANB2-AS1,ADCY1,COMMD2,H4C1,PDE6D,,DHX30,DDX39A,ATL3,H2AZ1,CATSPER3,ADAM11,ABHD17C,CCT6A,HNRNPLL,,CHCHD5,,,RAB13,,,,,,
CTDP1,GREP1,CLCN1,IGSF3,MIR3197,MIR9-2HG,HAX1,,ZMYM3,SNAI1,DCAF12L2,CKAP2L,TESK1,CDPF1,CCNC,,CD19,,EFTUD2,,,IMP4,,,,,,
ACSS3,BNIPL,SRRM5,ADIRF-AS1,HLTF,RASAL2,LAIR2,,BANK1,CABYR,IFT80,ESR2,ST3GAL6,SNX6,GTF3C6,,UBE3C,,NELFA,,,JTB,,,,,,
RBM15,PPP1R2C,LINC00427,PRG4,SSPN,KARS1,UQCR11,,USF2,BLVRA,FXYD3,CAPN2,PCLO,PEBP1,INO80,,KIAA0319L,,SUPT4H1,,,ZBTB8OS,,,,,,
RPUSD1,RNF10,FBXO27,CCL21,PAX5,PTPRR,PA2G4,,SETD1A,HMGCLL1,PRKACB,TWF1,IL1R2,RPL36AL,DCP1B,,AP1S3,,TMEM160,,,CCDC12,,,,,,
PIM3,WFDC5,NRL,NT5E,ARPP19,TYMSOS,ZFPM1,,HPS1,PRKAR1B,LINC03124,SPAG1,ASCC3,PPP1CC,NAA50,,SLC22A18AS,,OXLD1,,,HTR3A,,,,,,
UBE2L3,PSG7,PDCD1,ZNF250,RLN2,ATP8B2,PMF1,,DIS3L2,H3-4,LAMB4,VAMP3,GPX3,AP5S1,STAG1,,RNF181,,DUS3L,,,GMPPB,,,,,,
GHDC,PIP,MYBPH,SATB2,SNUPN,FAM153A,PRPS1,,LZTS2,TBXT,DDX19B,FAM118B,GDF10,TMED3,C6orf120,,CDC27,,SUMO3,,,ZNF155,,,,,,
TMCC2,IL37,SLC9A2,STOX1,ISG20,DARS2,JPH2,,TBC1D14,BTN1A1,LOC646471,CEP104,EIF2D,ZBTB14,PRKCH,,TPM3,,TSSC4,,,CYREN,,,,,,
RBX1,EPS8L1,EEF1A1P11,IL20RB,PTPN9,COQ10B,SHISA8,,GPS1,PFN4,FBXO2,ZNF587,,MRFAP1L1,ATF6,,ZFYVE9,,CRIPT,,,PPP1R7,,,,,,
ATG101,MS4A13,SLC6A12-AS1,FAIM,MESD,GALM,GNB1L,,USP39,MRPS5,BST1,RAB17,,TTC27,CEP63,,FAXC,,COIL,,,URB1-AS1,,,,,,
THAP7,SPMIP10,RNF186,LAMA4,RBMY2EP,MAGED2,GAMT,,CLN6,BUD31,CCL19,ARPC1A,,LRSAM1,MMS22L,,PDE12,,PHKG2,,,STARD7,,,,,,
MLF2,SPA17,LINC01400,FAM218A,ANKUB1,MFN2,SNORA64,,SNRPA,IGSF21,,ZNF550,,NDUFC1,ZNF648,,YIPF1,,TEX264,,,ALKBH3,,,,,,
MAP1LC3B,EEPD1,TRAV27,MYOZ3,FER1L6,GNG5,SNU13,,ZBTB7A,COL6A5,,RPP30,,TMED10,SRP72,,COX18,,POP7,,,SACM1L,,,,,,
PXDC1,NOBOX,EEF1A1P19,GNG2,FAM167A,ELK4,RPS21,,MAFG,UNC13C,,PRKCZ,,COA3,VTI1B,,CD79A,,DMAC2,,,SPCS3,,,,,,
SIPA1L3,RABEP2,B3GNT4,ATXN1L,NPHP4,TEC,BABAM2,,TUSC2,C20orf202,,CDH7,,PUM2,RPAP2,,STMN1,,TFPT,,,PSMC5,,,,,,
SEPTIN3,TRIM36,HNRNPA1P35,ANO4,EIF4A3,WDR87,UTP4,,RNF40,DYNLL2,,AGPS,,SDHAF2,MRPS18C,,IFI6,,OPA1,,,ZNF317,,,,,,
OGFOD1,SDC3,HNRNPA1P4,ABCC3,ACAT2,GGA1,CREB3,,NACC1,OXCT2,,AK2,,FDPS,CPOX,,SEPTIN2,,PSMD9,,,INTS12,,,,,,
DCTN1,C1orf141,HNRNPA1P7,FUCA2,DIS3L,LSM8,LEPROT,,VPS18,ELOA3P,,C3orf18,,LCMT1,PPIL3,,,,GTPBP8,,,RAB1A,,,,,,
MLLT3,PPP4R1L,RPL24P4,HOXB3,LSS,SEPTIN7P2,FLAD1,,POLRMT,OR5P3,,RHEB,,AAGAB,ATG5,,,,ANAPC11,,,SFRP5,,,,,,
