GSE91061,GSE61992,GSE35640,GSE22155_47,GSE22155_02,GSE91061|GSE61992,GSE91061|GSE35640,GSE91061|GSE22155_47,GSE91061|GSE22155_02,GSE61992|GSE35640,GSE61992|GSE22155_47,GSE61992|GSE22155_02,GSE35640|GSE22155_47,GSE35640|GSE22155_02,GSE91061|GSE61992|GSE35640,GSE91061|GSE61992|GSE22155_02,GSE91061|GSE35640|GSE22155_47,GSE91061|GSE35640|GSE22155_02,GSE91061|GSE22155_47|GSE22155_02,GSE61992|GSE35640|GSE22155_47,GSE61992|GSE35640|GSE22155_02,GSE61992|GSE22155_47|GSE22155_02,GSE35640|GSE22155_47|GSE22155_02,GSE91061|GSE61992|GSE35640|GSE22155_47,GSE91061|GSE61992|GSE35640|GSE22155_02,GSE91061|GSE61992|GSE22155_47|GSE22155_02,GSE91061|GSE35640|GSE22155_47|GSE22155_02,GSE61992|GSE35640|GSE22155_47|GSE22155_02,GSE91061|GSE61992|GSE35640|GSE22155_47|GSE22155_02
FCRL6,DIPK1C,SNORA21,CD163L1,HSH2D,CLEC17A,GPR171,HLA-H,DTHD1,SV2B,UCN,RNF148,LAPTM4A,RPS11,TIGIT,TARP,IFNG,CRTAM,CAMK1G,HLA-DRB6,EOMES,KIR2DL3,GTSF1L,CD3D,CD8B,PDCD1,FASLG,KIR2DL4,CD8A
SCIMP,LINC03124,NACA4P,LHB,ASB16,LONRF3,JAKMIP1,SPATA9,KLRC1,PPFIBP2,,INHBB,VCL,CLTC,ASCL2,,CD38,IKZF3,,CDC20,PRKCB,,P2RY8,PVRIG,SLA2,APOBEC3H,GZMA,,NKG7
BHLHE40-AS1,ZSCAN31,RPL41,ZNF573,RNF126P1,ANO1,AKAP5,ACP7,GRAP2,RPAIN,,,KCTD10,YWHAB,CALHM6,,GBP5,CD96,,FCN1,CCM2,,PFDN5,,IL12RB1,,GBP4,,LAG3
CXCR2P1,CSMD1,RPL41P1,MAFA,LINC00857,CTNNA2,TRAC,,ZMIZ1-AS1,ZFYVE21,,,GID8,DAP3,GIMAP6,,UBASH3A,KLRD1,,ZNF337,HLA-DQB1,,NFKBIE,,CD3G,,CXCL9,,IL2RB
SLFN12L,GUCA1A,RPL41P2,KIF2C,FMO1,TINCR,TBX21,,SH2D1B,UBE2G1,,,AKAP8,SSR4,EBI3,,GRIN3A,PLAAT4,,,PARP15,,RAC2,,SIRPG,,TLR8,,CCL5
USP30-AS1,DSCR8,RPL41P5,CFAP107,CCL25,EXTL1,CD226,,CEP128,NAPSB,,,HDAC1,SSR1,FGD2,,BATF2,SH2D1A,,,TPST2,,VPREB3,,GZMH,,IRF1,,CXCR6
NCR1,KCNJ6,SNORD54,CDA,TMEM244,CCL7,C1QC,,,GATM,,,ILF3,VCF1,CXCL13,,PATL2,THEMIS,,,CDK12,,NCF4,,CD72,,AOAH,,PRF1
IL21,CHRNA4,HNRNPA1P35,KHDC1,MEI1,RGS16,C1QA,,,GMPR2,,,C19orf44,GORASP2,IL4I1,,ITGB7,SLAMF7,,,RAB9A,,ADAMDEC1,,CXCR3,,STAT1,,CD2
SRD5A3-AS1,LINC01565,HNRNPA1P4,CEL,TSHR,PLXNB1,C1QB,,,VPS35L,,,GLI2,RPL10,TRIM21,,GZMB,CD3E,,,,,SPTA1,,ITGAL,,HLA-E,,SLAMF6
APOBEC3D,SH3RF2,HNRNPA1P7,SIMC1P1,PSORS1C1,,TOGARAM2,,,TRAK1,,,KPNA1,SEC31A,APOL6,,CXCL11,GIMAP4,,,,,,,IL10RA,,PTPN7,,LCK
CEACAM21,ANKH,RPL24P2,TICRR,ALDH1L2,,GBP1P1,,,AACS,,,AKAP8L,GNA13,SLA,,ZBED2,GBP1,,,,,,,IL2RG,,HLA-F,,GZMK
LGALS17A,ADM2,RPL24P8,REXO5,KDELR3,,LILRB1,,,ERMP1,,,SRRT,SYVN1,ZNF831,,HLA-B,APOL3,,,,,,,GVINP1,,HLA-C,,ICOS
PTPRN2-AS1,DMKN,HNRNPKP4,APOA5,WNT2,,TRAFD1,,,METTL3,,,SARNP,GALNT1,HPSE,,ANKRD22,TRAT1,,,,,,,NCKAP1L,,RASAL3,,CTSW
TTC24,ARRDC5,RPL24,C22orf46P,HLA-DRB4,,XCL1,,,TOMM70,,,YIPF6,NGLY1,IL18BP,,CSF1R,SAMD3,,,,,,,KLRG1,,APOBEC3F,,CD247
GPR141,DRD4,EEF1A1P11,CADM4,GJD3,,TOX2,,,EIF3M,,,VDAC3,ZBTB14,CIITA,,IFITM1,RAB37,,,,,,,PRKCH,,PSME2,,TAP1
C19orf38,KIRREL2,RPL24P4,LHX3,LRRC15,,CCR5,,,RHBDF2,,,PTPRA,CAB39,SUSD3,,NUB1,GFI1,,,,,,,GIMAP2,,SP140,,MAP4K1
TMEM150B,CFAP161,RPS25,CDCA8,EGFL6,,XCL2,,,PLPP6,,,HSPA9,SLC11A1,CD1D,,CCL8,GCH1,,,,,,,P2RY10,,BST2,,CD27
CLEC6A,RPL13AP3,EEF1A1P19,RAB17,RETN,,CARINH,,,MAMLD1,,,INSL3,SNN,DENND2D,,FGL2,CD86,,,,,,,NLRC5,,OASL,,CD7
XXYLT1-AS2,SYT15,EEF1A1P5,KRTAP2-1,SMPDL3B,,CCL4,,,CD53,,,IKBKB,JSRP1,VIPAS39,,CYLD,CXCL10,,,,,,,STAT4,,UBA7,,ITK
TCAF2,SCN1A,EEF1A1P6,GPR37,KIR2DL1,,APOL4,,,PGBD2,,,NAPB,RPN2,KARS1,,HCP5,CTSC,,,,,,,RCSD1,,BTN3A2,,BTLA
CD9,HSPB3,RPL23AP74,SKA1,MARCO,,PPP1R16B,,,ZNF26,,,HNRNPAB,SAT1,SYNRG,,RNF114,PSMB10,,,,,,,UBE2L6,,NAT9,,ARHGAP9
ZNF136,NR3C2,SNORA31,ZNF767P,CCDC183,,KLHDC7B,,,TSG101,,,ADPGK,MARCKS,CIRBP,,CD48,PTPN22,,,,,,,HCST,,,,TBC1D10C
PLEKHG1,KTN1-AS1,RPL23AP42,GLOD5,TTC16,,P2RY6,,,ZNF407-AS1,,,TRAF5,PSMA4,ALKBH1,,CLEC10A,GBP2,,,,,,,INPP5D,,,,PSME1
THBD,LOC100128059,RPL23AP65,LBX2,LINC02694,,PDCD1LG2,,,TMOD1,,,TRAF3,YIPF1,MRPL45,,ISG15,FCRL3,,,,,,,ARHGAP30,,,,DCANP1
GOLGA7B,NME8,EEF1A1P13,CYMP,CRYBA4,,IRF2,,,UACA,,,NUDC,SRP54,CBR3,,IFIT3,FBXO6,,,,,,,GIMAP1,,,,
SERINC2,ARPP21,HMGB1P6,UBXN10,AMPD1,,TRAV12-2,,,BEST1,,,KLHL24,GOLT1B,CLECL1P,,IRF8,SECTM1,,,,,,,IL32,,,,
PCED1B-AS1,FOXP3,RPL23AP2,ADCY4,F3,,GNGT2,,,PSMF1,,,NFS1,SPCS2,RTP4,,NELL2,PCED1B,,,,,,,CORO1A,,,,
LAMB3,GABRG2,VIPR2,DSP,CACNG6,,STX11,,,TIMP1,,,RHOQ,TMEM165,SZRD1,,ARHGEF3,CD244,,,,,,,HLA-DPA1,,,,
DUSP2,FOXG1,TPM3P8,DMRT2,CST1,,NLRC3,,,TMEM191C,,,RBM17,UBXN7,KBTBD7,,SLC20A2,SIT1,,,,,,,RNASE6,,,,
USF1,DNAAF2,SNORA3A,TNNT2,LINC02649,,PLA2G2D,,,HNRNPUL2,,,LSM1,SMARCA5,CCDC174,,IFI44L,ZNF683,,,,,,,TRAF3IP3,,,,
CTTNBP2,ZNF543,STARD7,NEO1,DIPK2B,,SOCS1,,,FAM98B,,,SNRPD2,CYTH4,CHRM1,,SLFN13,GZMM,,,,,,,SPOCK2,,,,
EPDR1,OR7G1,YWHAG,DEPP1,CACNA1E,,ACOD1,,,PRKCE,,,RPA2,TBC1D15,TMEM230,,IFI27,GIMAP7,,,,,,,PTPRCAP,,,,
SEMA6B,EPHX3,HMGN2P17,CORIN,NLRP12,,RASSF4,,,PFKFB2,,,DNAJC9,TAGAP,ETS1,,RAD9A,WARS1,,,,,,,TLR4,,,,
