GSE50509,GSE91061,GSE50509|GSE91061
HTN1,PAX5,GNG7
C5orf58,CLEC17A,PDCD4-AS1
DMRT3,TCL1A,TNFRSF13B
ARL3,TNFRSF13C,CD79A
HPN,TLR10,VPREB3
NLGN3,FCRL2,BLK
ZDHHC14,GPR18,UBAP1
CBFA2T2,POU2F2,HCLS1
CDK20,CNR2,TOR4A
PSMF1,FCRL1,MGAT3
DAW1,STAP1,MED27
FGF14-AS2,MS4A1,FCMR
FAM219A,BANK1,CD19
MIR335,TESPA1,SYS1
ADARB2,SPIB,GBA2
CCDC140,TMEM156,FAM120AOS
GFAP,NIBAN3,CBX7
DMTN,ZC3H12D,GNA12
NDRG3,LTA,PPIL2
RPS6KA2,P2RX2,ZEB1-AS1
EXD3,CCR6,QSOX2
GRM3,MAP4K1,YPEL3
SCN1B,RHOH,MXD4
SF3A1,GCSAM,TMEM203
EXOC3,ADGRG5,ADD1
SLC27A1,IKZF1,KBTBD3
BCL2L1,P2RX5,SMAP2
TMPRSS9,BACH2,NAXD
GAS1,BEND4,BDP1
MOCS3,GAPT,SLIT1
C2orf15,FCRL3,KLRB1
RARRES2,CLLU1,PRRC2B
GOLGA2,CD22,SMDT1
PDGFD,PPP1R16B,PHF2
WHRN,IRF8,RUNDC1
HSD17B3,IRAG2,IZUMO4
GSTM1,SLAMF6,ZHX2
CITED2,WDFY4,ELMO1
OSBPL2,BTLA,CXCR5
HDAC10,SASH3,MCOLN2
CES4A,SP140,CDK5RAP1
LGI4,PNOC,ATG16L1
CAPN12,CORO1A,POU2AF1
SPATA2,SEPTIN1,PTPRCAP
ITIH2,P2RY10,PIK3IP1
CLTA,HLA-DOB,PKIG
GPR37,CD79B,RPL7A
MORN4,INPP5D,MAP2K7
DEPP1,LCK,WBP1L
ZC3H7B,KBTBD8,SYVN1
SNORD13,CD40LG,PHF10
MIR1197,IKZF3,DDX24
SLC9A3,HVCN1,MIR600HG
GRTP1,NCR3,SUSD3
TRIOBP,TRAF3IP3,LMNB1
INPP5A,TSPOAP1-AS1,ZBTB7A
TM9SF4,PTPN6,PDPK1
GPR37L1,TLR9,ZSWIM1
CRKL,TREML2,ATP6V0A2
SLCO3A1,BCL11A,C14orf93
AQP12B,LINC00926,PLCL2
DNAL4,AICDA,RNF216
DIDO1,CD3G,MLLT6
RNF215,CARMIL2,FBXO10
ADCY2,PLCG2,ABTB1
GNAZ,GVINP1,CLEC16A
DRGX,IL17REL,INTS9
IRGM,ZNF101,MAU2
MCM4,NLRC3,CD37
CHMP4B,LNROP,TNFRSF17
CDIPT,AKNA,ZSCAN18
KCNMB4,PCED1B-AS1,ZBTB5
HHIP-AS1,TMEM131L,ZSWIM3
RNF114,FCRL5,TUBGCP6
P2RY8,GRAP,STAT5B
COQ7,SHISAL2A,MAPKAPK2
TLN1,BTK,NHLRC2
WDR27,FCRL4,MED22
LZTS1,RGS13,TOMM5
MIEF2,LTB,CYTH4
KLF15,CR2,PCIF1
KHDC1,LY9,CLECL1P
INMT,PIK3CG,MKRN1
MAP2K5,ATP2A3,ABHD17A
ATOSB,FCHO1,DHX9
RRAGA,FAM30A,WDR76
LDHA,C12orf42,MED10
FAM184A,LINC01501,SNAI3
PDCD6,SHISA8,BTG2
B3GAT1,ACAP1,PTK2B
DLGAP4,DTX1,MZB1
FAM107A,CCDC88C,FNBP1
ALAD,SNX29P2,CTDSP1
GGT7,BLNK,ERMARD
